Date,Open,High,Low,Close
2022-03-03,25.3085,25.4755,24.9785,25.1835
2022-03-04,25.1945,25.7375,25.0455,25.5905
2022-03-07,25.879,26.1425,25.2985,25.6755
2022-03-08,25.6565,26.9295,25.3575,26.412
2022-03-09,26.403,26.7825,25.4165,25.7795
2022-03-10,25.7785,26.0605,25.3215,25.9175
2022-03-11,25.9235,25.9955,25.4215,25.8215
2022-03-14,25.6555,25.7635,24.9375,25.1005
2022-03-15,25.0995,25.1195,24.5405,24.8815
2022-03-16,24.8805,25.133,24.4725,25.0625
2022-03-17,25.0625,25.5425,25.0615,25.3345
2022-03-18,25.3345,25.4485,24.8365,24.9715
2022-03-21,24.9935,25.3095,24.8975,25.2295
2022-03-22,25.2305,25.3825,24.5805,24.7795
2022-03-23,24.7795,25.2025,24.6795,25.1505
2022-03-24,25.1515,25.8505,24.9725,25.5475
2022-03-25,25.5475,25.7265,25.2635,25.5245
2022-03-28,25.52,25.5955,24.7995,24.8745
2022-03-29,24.8874,25.0105,23.9785,24.7775
2022-03-30,24.8065,25.0635,24.7045,24.8665
2022-03-31,24.8898,25.0875,24.5755,24.7925
2022-04-01,24.801,24.8645,24.4415,24.6035
2022-04-04,24.628,24.8465,24.2835,24.5355
2022-04-05,24.5517,24.9415,24.2285,24.3295
2022-04-06,24.3709,24.5685,24.1285,24.4585
2022-04-07,24.456,24.6615,24.2535,24.5905
2022-04-08,24.5953,24.8085,24.3775,24.7265
2022-04-11,24.789,25.3745,24.6775,25.0915
2022-04-12,25.0698,25.6105,24.8755,25.3755
2022-04-13,25.4013,25.8325,25.3525,25.7405
2022-04-14,25.731,25.8725,25.3045,25.65
2022-04-18,25.674,26.2185,25.6135,25.8675
2022-04-19,25.851,25.9985,25.0605,25.1815
2022-04-20,25.1914,25.2945,24.8955,25.1955
2022-04-21,25.2018,25.2018,24.4225,24.6565
2022-04-22,24.657,24.6685,24.0535,24.1715
2022-04-25,24.15,24.1785,23.4035,23.6315
2022-04-26,23.6475,23.9255,23.4035,23.5145
2022-04-27,23.472,23.6925,23.2505,23.3095
2022-04-28,23.3151,23.4045,22.8985,23.1575
2022-04-29,23.1628,23.5635,22.7365,22.7695
2022-05-02,22.761,22.8565,22.1285,22.6415
2022-05-03,22.6484,22.8405,22.4255,22.5735
2022-05-04,22.601,23.0945,22.2215,22.9795
2022-05-05,23.0099,23.2785,22.3245,22.5205
2022-05-06,22.5116,22.6435,22.1065,22.3735
2022-05-09,22.34,22.3725,21.7005,21.7985
2022-05-10,21.8189,22.1005,21.1985,21.2735
2022-05-11,21.253,21.9665,21.2475,21.5755
2022-05-12,21.5807,21.6635,20.6195,20.6865
2022-05-13,20.71,21.0925,20.4595,21.0455
2022-05-16,21.09,21.6855,20.8475,21.6225
2022-05-17,21.6425,21.9165,21.5135,21.6325
2022-05-18,21.6347,21.7545,21.3765,21.4125
2022-05-19,21.426,21.9795,21.2835,21.9285
2022-05-20,21.93,22.0785,21.6155,21.7625
2022-05-23,21.794,22.1885,21.6825,21.7985
2022-05-24,21.797,22.2015,21.6715,22.1115
2022-05-25,22.12,22.1465,21.7415,21.9905
2022-05-26,21.9889,22.0705,21.7305,22.0145
2022-05-27,22.0155,22.4455,21.9415,22.0795
2022-05-30,22.117,22.2805,21.9195,21.9825
2022-05-31,22.0005,22.0165,21.4775,21.5595
2022-06-01,21.5456,21.9755,21.4405,21.8355
2022-06-02,21.838,22.3355,21.7665,22.3095
2022-06-03,22.322,22.4835,21.8515,21.9255
2022-06-06,21.923,22.5155,21.8985,22.0845
2022-06-07,22.09,22.2835,21.8835,22.2305
2022-06-08,22.2466,22.2475,21.8185,22.0475
2022-06-09,22.0545,22.1465,21.5545,21.6895
2022-06-10,21.7193,21.9915,21.2905,21.8765
2022-06-13,21.939,22.0125,20.9745,21.0925
2022-06-14,21.138,21.3795,20.9005,21.0365
2022-06-15,21.0688,21.8385,21.0095,21.6805
2022-06-16,21.643,21.9645,21.3525,21.9505
2022-06-17,21.9343,21.9505,21.5805,21.6585
2022-06-20,21.69,21.7635,21.4855,21.6015
2022-06-21,21.594,21.9385,21.4965,21.6905
2022-06-22,21.6854,21.6905,21.2375,21.4235
2022-06-23,21.4335,21.5045,20.9255,20.9595
2022-06-24,20.9633,21.2235,20.6155,21.1455
2022-06-27,21.228,21.5395,21.0965,21.1515
2022-06-28,21.185,21.3625,20.8005,20.8605
2022-06-29,20.859,21.0605,20.6345,20.7485
2022-06-30,20.748,20.8235,20.2155,20.2755
2022-07-01,20.2939,20.2965,19.3895,19.8725
2022-07-04,19.894,20,19.7715,19.9715
2022-07-05,19.9825,20.2055,19.1045,19.2285
2022-07-06,19.2595,19.4035,18.9235,19.2025
2022-07-07,19.2205,19.4875,19.1065,19.2355
2022-07-08,19.2405,19.4515,19.0225,19.3005
2022-07-11,19.297,19.3705,19.0695,19.1185
2022-07-12,19.109,19.2025,18.7485,18.9375
2022-07-13,18.9055,19.4115,18.8665,19.2145
2022-07-14,19.244,19.244,18.1465,18.4255
2022-07-15,18.4465,18.7805,18.1905,18.6645
2022-07-18,18.698,19.0175,18.6415,18.6985
2022-07-19,18.7267,18.9095,18.5875,18.7525
2022-07-20,18.787,19.0975,18.6535,18.6775
2022-07-21,18.6955,18.8835,18.2465,18.8565
2022-07-22,18.8406,18.9465,18.5135,18.5805
2022-07-25,18.604,18.7885,18.3195,18.4355
2022-07-26,18.4295,18.7205,18.3895,18.6265
2022-07-27,18.657,19.1325,18.4545,19.0895
2022-07-28,19.1055,20.0265,19.0595,20.0145
2022-07-29,19.985,20.3115,19.8555,20.2695
2022-08-01,20.34,20.5095,20.0885,20.3595
2022-08-02,20.3582,20.5075,19.9535,19.9895
2022-08-03,19.9995,20.1705,19.7895,20.0605
2022-08-04,20.07,20.3835,19.9675,20.1815
2022-08-05,20.2015,20.3195,19.5655,19.8815
2022-08-08,19.904,20.7405,19.8015,20.6715
2022-08-09,20.681,20.7395,20.4155,20.5335
2022-08-10,20.5229,20.8405,20.3495,20.5945
2022-08-11,20.6173,20.6345,20.2525,20.3105
2022-08-12,20.3175,20.8315,20.2445,20.8045
2022-08-15,20.789,20.8735,20.0915,20.2695
2022-08-16,20.3139,20.3139,19.9195,20.1365
2022-08-17,20.1523,20.2755,19.7005,19.7955
2022-08-18,19.7965,19.9345,19.4875,19.5415
2022-08-19,19.5655,19.5765,19.0305,19.0525
2022-08-22,19.057,19.1565,18.7245,18.9925
2022-08-23,19.0154,19.2795,18.8005,19.1145
2022-08-24,19.143,19.2285,18.9585,19.1165
2022-08-25,19.125,19.4015,19.1105,19.2515
2022-08-26,19.2562,19.4225,18.8295,18.8555
2022-08-29,18.8785,18.9085,18.5175,18.7875
2022-08-30,18.7752,18.8445,18.3545,18.4345
2022-08-31,18.4111,18.5465,17.9405,17.9945
2022-09-01,17.991,18.0005,17.5665,17.8135
2022-09-02,17.8045,18.2875,17.7805,17.9855
2022-09-05,18.046,18.2485,17.9505,18.1535
2022-09-06,18.161,18.5745,17.9445,18.0095
2022-09-07,18.009,18.4775,17.8495,18.4585
2022-09-08,18.4678,18.7415,18.3265,18.5395
2022-09-09,18.53,18.9485,18.5295,18.7985
2022-09-12,18.874,20.0145,18.8465,19.8045
2022-09-13,19.8015,19.9455,19.333,19.3455
2022-09-14,19.325,19.6965,19.2405,19.6355
2022-09-15,19.6245,19.6665,19.1175,19.1755
2022-09-16,19.16,19.6245,18.7845,19.5365
2022-09-19,19.554,19.6615,19.2245,19.5615
2022-09-20,19.5665,19.5795,19.0625,19.2785
2022-09-21,19.278,19.9145,19.2425,19.5635
2022-09-22,19.5655,19.8605,19.2485,19.6385
2022-09-23,19.633,19.7145,18.7765,18.8635
